name,finish_time_fairness
roberta-base@mrpc-0,0.36745
roberta-base@qnli-1,0.06007
roberta-base@qnli-2,0.02503
roberta-base@sst2-3,0.05303
roberta-base@qnli-4,0.12741
roberta-base@qnli-5,0.05415
roberta-base@qnli-6,0.18989
roberta-base@stsb-7,0.11576
roberta-base@rte-8,0.19977
roberta-base@qnli-9,0.09097
roberta-base@mnli-10,0.01026
roberta-base@qqp-11,0.13846
roberta-base@mnli-12,0.04385
roberta-base@qnli-13,0.15898
roberta-base@sst2-14,0.13257
roberta-base@wnli-15,7.09327
roberta-base@sst2-16,0.07642
roberta-base@rte-17,0.48
roberta-base@sst2-18,0.06464
roberta-base@rte-19,0.35118
roberta-base@stsb-20,0.10002
roberta-base@qnli-21,0.01382
roberta-base@qnli-22,0.02999
roberta-base@wnli-23,10.29327
roberta-base@wnli-24,8.29327
roberta-base@mrpc-25,0.24392
roberta-base@wnli-26,8.29327
roberta-base@wnli-27,8.2266
roberta-base@qnli-28,0.00519
roberta-base@wnli-29,5.0266
roberta-base@wnli-30,13.95993
roberta-base@rte-31,0.40316
roberta-base@snli-32,0.04195
roberta-base@mnli-33,0.07915
roberta-base@rte-34,0.84266
roberta-base@rte-35,0.31729
roberta-base@stsb-36,0.12275
roberta-base@stsb-37,0.10789
roberta-base@snli-38,0.00665
roberta-base@sst2-39,0.2092
roberta-base@stsb-40,0.17784
roberta-base@rte-41,0.3557
roberta-base@qnli-42,0.02875
roberta-base@wnli-43,4.69327
roberta-base@qqp-44,0.19564
roberta-base@qnli-45,0.04515
roberta-base@qqp-46,0.05332
roberta-base@sst2-47,0.03778
roberta-base@qnli-48,0.24446
roberta-base@sst2-49,0.03918
roberta-base@rte-50,0.38282
roberta-base@mrpc-51,0.27333
roberta-base@mrpc-52,0.1851
roberta-base@qnli-53,0.0114
roberta-base@qqp-54,0.05628
roberta-base@wnli-55,15.69327
roberta-base@sst2-56,0.10907
roberta-base@rte-57,0.28113
roberta-base@qnli-58,0.25319
roberta-base@qqp-59,0.01338
roberta-base@sst2-60,0.25968
roberta-base@stsb-61,0.16647
roberta-base@sst2-62,0.3373
roberta-base@sst2-63,0.09634
roberta-base@mnli-64,0.0885
roberta-base@stsb-65,0.15335
roberta-base@qnli-66,0.01208
roberta-base@qnli-67,0.19249
roberta-base@qnli-68,0.15655
roberta-base@sst2-69,0.24329
roberta-base@qnli-70,0.1598
roberta-base@sst2-71,0.24835
roberta-base@rte-72,0.42576
roberta-base@qnli-73,0.28789
roberta-base@mrpc-74,0.30863
roberta-base@qnli-75,0.22961
roberta-base@sst2-76,0.41806
roberta-base@qnli-77,0.22961
roberta-base@qnli-78,0.22961
roberta-base@sst2-79,0.35684
roberta-base@sst2-80,0.35684
roberta-base@qnli-81,0.30776
roberta-base@sst2-82,0.35684
roberta-base@sst2-83,0.47828
roberta-base@sst2-84,0.35684
roberta-base@qnli-85,0.26901
roberta-base@qnli-86,0.22961
roberta-base@qnli-87,0.23111
roberta-base@sst2-88,0.41877
roberta-base@sst2-89,0.37991
roberta-base@qnli-90,0.24446
roberta-base@qnli-91,0.24941
roberta-base@sst2-92,0.33073
roberta-base@sst2-93,0.0365
roberta-base@sst2-94,0.04314
roberta-base@qnli-95,0.02774
roberta-base@stsb-96,0.128
roberta-base@qnli-97,0.29642
roberta-base@sst2-98,0.22254
roberta-base@sst2-99,0.04999
roberta-base@rte-100,0.48226
roberta-base@rte-101,0.4122
roberta-base@mrpc-102,0.35765
roberta-base@wnli-103,7.8266
roberta-base@sst2-104,0.03538
roberta-base@qnli-105,0.04184
roberta-base@qnli-106,0.04734
roberta-base@qnli-107,0.17947
roberta-base@wnli-108,9.69327
roberta-base@sst2-109,0.25584
roberta-base@sst2-110,0.06047
roberta-base@sst2-111,0.48941
roberta-base@qnli-112,0.29538
roberta-base@sst2-113,0.41897
roberta-base@sst2-114,0.47969
roberta-base@sst2-115,0.40814
roberta-base@qnli-116,0.31492
roberta-base@sst2-117,0.41614
roberta-base@sst2-118,0.45905
roberta-base@sst2-119,0.26596
