name,finish_time_fairness
vit-large@frgfm#imagenette-0,0.03336
vit-large@imagenet-split-1-1,0.01365
vit-large@food101-2,0.08711
vit-large@imagenet-split-0-3,0.05763
vit-large@imagenet-split-0-4,0.09443
vit-large@imagenet-split-1-5,0.11413
vit-large@imagenet-split-1-6,0.07253
vit-large@imagenet-split-0-7,0.09898
vit-large@mnist-8,0.12507
vit-large@frgfm#imagenette-9,0.10445
vit-large@frgfm#imagenette-10,0.09679
vit-large@frgfm#imagenette-11,0.0643
vit-large@mnist-12,0.1514
vit-large@food101-13,0.08576
vit-large@fashion_mnist-14,0.13517
vit-large@imagenet-split-2-15,0.07433
vit-large@food101-16,0.02909
vit-large@imagenet-split-0-17,0.15894
vit-large@cifar100-18,0.12732
vit-large@imagenet-split-1-19,0.05333
vit-large@cifar100-20,0.06859
vit-large@imagenet-split-1-21,0.05735
vit-large@cifar100-22,0.02193
vit-large@cifar100-23,0.12131
vit-large@mnist-24,0.10977
vit-large@mnist-25,0.02985
vit-large@Bingsu#Cat_and_Dog-26,0.1485
vit-large@imagenet-split-1-27,0.02796
vit-large@Bingsu#Cat_and_Dog-28,0.10253
vit-large@fashion_mnist-29,0.02075
vit-large@cifar100-30,0.0469
vit-large@cifar100-31,0.03202
vit-large@frgfm#imagenette-32,0.07127
vit-large@frgfm#imagenette-33,0.09399
vit-large@food101-34,0.01378
vit-large@frgfm#imagenette-35,0.0643
vit-large@frgfm#imagenette-36,0.0643
vit-large@frgfm#imagenette-37,0.06564
vit-large@frgfm#imagenette-38,0.03315
vit-large@frgfm#imagenette-39,0.06408
vit-large@Bingsu#Cat_and_Dog-40,0.12269
vit-large@imagenet-split-0-41,0.00601
vit-large@Bingsu#Cat_and_Dog-42,0.08398
vit-large@frgfm#imagenette-43,0.06866
vit-large@frgfm#imagenette-44,0.09483
vit-large@food101-45,0.1559
vit-large@food101-46,0.10709
vit-large@food101-47,0.12175
vit-large@frgfm#imagenette-48,0.15163
vit-large@frgfm#imagenette-49,0.19507
vit-large@frgfm#imagenette-50,0.0435
vit-large@Bingsu#Cat_and_Dog-51,0.09769
vit-large@frgfm#imagenette-52,0.08742
vit-large@frgfm#imagenette-53,0.08696
vit-large@frgfm#imagenette-54,0.06975
vit-large@Bingsu#Cat_and_Dog-55,0.08318
vit-large@imagenet-split-2-56,0.00331
vit-large@Bingsu#Cat_and_Dog-57,0.12914
vit-large@imagenet-split-1-58,0.03906
vit-large@Bingsu#Cat_and_Dog-59,0.14769
vit-large@frgfm#imagenette-60,0.04447
vit-large@fashion_mnist-61,0.0195
vit-large@Bingsu#Cat_and_Dog-62,0.08076
vit-large@food101-63,0.13559
vit-large@cifar100-64,0.02754
vit-large@food101-65,0.13225
vit-large@cifar100-66,0.02451
vit-large@imagenet-split-0-67,0.14048
vit-large@imagenet-split-1-68,0.02284
vit-large@Bingsu#Cat_and_Dog-69,0.11382
vit-large@frgfm#imagenette-70,0.06844
vit-large@frgfm#imagenette-71,0.03053
vit-large@frgfm#imagenette-72,0.07479
vit-large@cifar100-73,0.00899
vit-large@food101-74,0.13688
vit-large@frgfm#imagenette-75,0.11248
vit-large@Bingsu#Cat_and_Dog-76,0.0864
vit-large@Bingsu#Cat_and_Dog-77,0.11624
vit-large@cifar100-78,0.05143
vit-large@Bingsu#Cat_and_Dog-79,0.07753
vit-large@cifar100-80,0.12518
vit-large@food101-81,0.02449
vit-large@cifar100-82,0.13691
vit-large@Bingsu#Cat_and_Dog-83,0.25022
vit-large@fashion_mnist-84,0.10486
vit-large@imagenet-split-1-85,0.12041
vit-large@food101-86,0.28544
vit-large@Bingsu#Cat_and_Dog-87,0.12995
vit-large@fashion_mnist-88,0.17034
vit-large@Bingsu#Cat_and_Dog-89,0.25253
vit-large@imagenet-split-0-90,0.06181
vit-large@mnist-91,0.5038
vit-large@fashion_mnist-92,0.51681
vit-large@imagenet-split-1-93,0.09041
vit-large@mnist-94,0.51681
vit-large@cifar100-95,0.60456
vit-large@cifar100-96,0.14026
vit-large@imagenet-split-0-97,0.08152
vit-large@fashion_mnist-98,0.11689
vit-large@imagenet-split-0-99,0.13521
vit-large@Bingsu#Cat_and_Dog-100,0.14124
vit-large@cifar100-101,0.63688
vit-large@frgfm#imagenette-102,0.0606
vit-large@mnist-103,0.61078
vit-large@imagenet-split-1-104,0.6674
vit-large@cifar100-105,0.0529
vit-large@imagenet-split-0-106,0.47641
vit-large@fashion_mnist-107,0.69405
vit-large@cifar100-108,0.69742
vit-large@imagenet-split-1-109,0.70139
vit-large@cifar100-110,0.69179
vit-large@imagenet-split-1-111,0.38129
vit-large@mnist-112,0.69405
vit-large@imagenet-split-0-113,0.48239
vit-large@fashion_mnist-114,0.70703
vit-large@mnist-115,0.60525
vit-large@mnist-116,0.70703
vit-large@cifar100-117,0.66832
vit-large@imagenet-split-1-118,0.6674
vit-large@fashion_mnist-119,0.60994
vit-large@cifar100-120,0.69742
vit-large@imagenet-split-1-121,0.52841
vit-large@fashion_mnist-122,0.60525
vit-large@mnist-123,0.41524
vit-large@imagenet-split-1-124,0.66202
vit-large@fashion_mnist-125,0.41524
vit-large@imagenet-split-1-126,0.11872
vit-large@mnist-127,0.07043
vit-large@imagenet-split-1-128,0.15542
vit-large@frgfm#imagenette-129,0.07174
vit-large@fashion_mnist-130,0.2647
vit-large@imagenet-split-1-131,0.30396
vit-large@fashion_mnist-132,0.26525
vit-large@frgfm#imagenette-133,0.12359
vit-large@imagenet-split-0-134,0.09339
vit-large@cifar100-135,0.05188
vit-large@frgfm#imagenette-136,0.11727
vit-large@Bingsu#Cat_and_Dog-137,0.23813
vit-large@Bingsu#Cat_and_Dog-138,0.21151
vit-large@frgfm#imagenette-139,0.0826
vit-large@imagenet-split-0-140,0.06556
vit-large@food101-141,0.09042
vit-large@imagenet-split-0-142,0.14266
vit-large@imagenet-split-1-143,0.04647
vit-large@Bingsu#Cat_and_Dog-144,0.24377
vit-large@cifar100-145,0.17041
vit-large@fashion_mnist-146,0.03998
vit-large@mnist-147,0.17194
vit-large@cifar100-148,0.18816
vit-large@fashion_mnist-149,0.14008
vit-large@imagenet-split-1-150,0.18548
vit-large@mnist-151,0.16686
vit-large@fashion_mnist-152,0.16686
vit-large@imagenet-split-1-153,0.15882
vit-large@fashion_mnist-154,0.17194
vit-large@imagenet-split-1-155,0.18006
vit-large@imagenet-split-0-156,0.16723
vit-large@fashion_mnist-157,0.1383
vit-large@cifar100-158,0.1681
vit-large@imagenet-split-1-159,0.14689
