full_resource,free_resource,pending_num,running_num,submit_num
32,32,0,0,0
32,32,0,0,2
32,8,0,1,0
32,32,0,0,0
32,32,0,0,0
32,32,0,0,0
32,32,0,0,0
32,32,0,0,2
32,24,0,2,0
32,24,0,2,0
32,28,0,1,0
32,28,0,1,1
32,4,0,2,1
32,0,0,3,0
32,21,0,3,1
32,24,0,2,1
32,20,0,3,0
32,24,0,2,1
32,20,0,3,0
32,24,0,2,1
32,0,0,3,1
32,0,0,4,0
32,0,0,4,1
32,0,0,5,1
32,0,0,6,0
32,0,0,5,0
32,0,0,4,3
32,1,0,7,0
32,0,0,5,1
32,0,0,6,1
32,1,0,7,0
32,1,0,6,0
32,0,0,5,0
32,10,0,5,1
32,16,0,4,1
32,13,0,5,0
32,21,0,3,2
32,22,0,3,0
32,28,0,1,0
32,32,0,0,0
32,32,0,0,0
32,32,0,0,4
32,0,0,3,0
32,0,0,3,1
32,0,0,4,0
32,3,0,4,0
32,0,0,3,0
32,15,0,3,0
32,16,0,2,0
32,16,0,2,0
32,16,0,2,0
32,16,0,2,2
32,24,0,2,0
32,16,0,2,0
32,20,0,1,2
32,0,0,3,0
32,0,0,3,0
32,8,0,3,1
32,12,0,3,1
32,9,0,4,1
32,0,0,4,1
32,0,0,5,2
32,1,0,6,2
32,0,0,5,2
32,0,0,6,1
32,0,0,6,2
32,0,0,5,1
32,0,0,5,2
32,0,0,4,3
32,0,0,5,5
32,0,0,6,2
32,0,0,7,0
32,0,0,5,0
32,0,0,4,2
32,0,0,4,3
32,1,0,4,2
32,0,0,6,1
32,12,0,5,1
32,25,0,2,0
32,26,0,2,0
32,32,0,0,9
32,4,0,7,2
32,3,0,7,0
32,21,0,2,0
32,32,0,0,1
32,28,0,1,0
32,20,0,1,0
32,32,0,0,2
32,28,0,1,1
32,28,0,1,6
32,13,0,5,0
32,4,0,3,2
32,0,0,4,0
32,4,0,3,0
32,4,0,3,1
32,0,0,4,2
32,1,0,5,0
32,4,0,3,0
32,4,0,3,2
32,4,0,5,0
32,10,0,4,0
32,28,0,1,6
32,12,0,5,0
32,10,0,4,0
32,20,0,1,2
32,0,0,2,0
32,20,0,1,1
32,16,0,2,1
32,13,0,3,0
32,30,0,1,1
32,8,0,1,1
32,4,0,2,1
32,0,0,2,0
32,0,0,2,2
32,3,0,3,1
32,28,0,1,0
32,28,0,1,1
32,24,0,2,1
32,24,0,2,2
32,16,0,4,1
32,0,0,4,1
32,0,0,5,0
32,9,0,5,0
32,20,0,3,0
32,20,0,3,0
32,20,0,3,0
32,20,0,3,1
32,0,0,4,1
32,0,0,5,1
32,0,0,6,0
32,0,0,5,1
32,0,0,6,0
32,0,0,5,0
32,1,0,4,0
32,31,0,1,2
32,24,0,2,0
32,32,0,0,0
32,32,0,0,0
32,32,0,0,0
32,32,0,0,0
32,32,0,0,2
32,24,0,2,0
32,26,0,2,1
32,8,0,1,4
32,0,0,4,1
32,2,0,4,0
32,27,0,2,0
32,28,0,1,1
32,24,0,2,0
32,25,0,2,1
32,21,0,3,0
32,28,0,1,0
32,28,0,1,2
32,24,0,2,1
32,24,0,2,1
32,20,0,3,0
32,24,0,2,1
32,20,0,3,1
32,16,0,4,0
32,24,0,2,0
32,24,0,2,6
32,0,0,7,9
32,4,4,10,0
32,2,2,11,1
32,2,1,11,0
32,3,1,10,2
32,4,3,10,0
32,4,2,10,1
32,3,1,9,2
32,3,1,9,0
32,0,0,7,2
32,0,0,5,1
32,20,0,3,0
32,25,0,2,0
32,28,0,1,0
32,28,0,1,0
32,20,0,1,1
32,26,0,2,2
32,8,0,1,2
32,0,0,2,0
32,0,0,1,21
32,32,22,0,1
32,32,23,0,1
32,32,24,0,1
32,32,25,0,0
32,32,25,0,1
32,0,0,16,1
32,0,0,16,1
32,3,1,13,0
32,3,1,13,39
32,32,49,0,0
32,0,17,25,3
32,0,13,30,0
32,0,11,32,0
32,0,11,32,5
32,0,14,31,4
32,0,17,31,1
32,0,15,32,1
32,0,12,31,0
32,0,7,30,2
32,0,3,31,0
32,0,2,32,1
32,0,2,32,0
32,0,1,32,2
32,0,2,32,0
32,0,1,32,2
32,2,4,30,3
32,0,1,30,2
32,0,0,27,2
32,2,1,25,2
32,0,0,27,1
32,4,2,23,0
32,2,1,24,2
32,2,1,22,1
32,0,0,24,3
32,0,0,25,1
32,0,0,25,2
32,0,0,26,1
32,0,0,25,3
32,2,1,19,1
32,0,0,18,1
32,9,3,10,2
32,6,2,9,1
32,2,1,8,0
32,2,0,6,2
32,0,0,5,0
32,0,0,5,0
32,12,0,4,4
32,0,0,5,0
32,20,0,3,0
32,20,0,3,3
32,1,0,5,1
32,0,0,4,0
32,16,0,3,1
32,0,0,3,0
32,3,0,3,23
32,32,25,0,0
32,0,0,14,1
32,2,1,14,1
32,6,3,12,2
32,9,3,11,0
32,9,3,8,0
32,3,1,10,0
32,0,0,11,0
32,3,0,4,0
32,1,0,3,0
32,5,0,2,0
32,20,0,1,0
