name,submission_time,pending_time,staying_time,completion_time,num_restarts,max_progress,target_num_gpus
vit@frgfm#imagenette-0,45,255,446.16124963760376,491.16124963760376,1,85221.0,3
vit@fashion_mnist-1,92,208,795.1612496376038,887.1612496376038,1,600000.0,24
vit@Bingsu#Cat_and_Dog-2,766,134,379.16124963760376,1145.1612496376038,1,63680.0,1
vit@imagenet-split-2-3,786,114,1826.1612496376038,2612.1612496376038,1,1000000.0,4
vit@mnist-4,1280,220,1309.3224992752075,2589.3224992752075,2,600000.0,3
vit@frgfm#imagenette-5,1322,178,369.16124963760376,1691.1612496376038,1,85221.0,3
vit@cifar100-6,1576,277,812.1612496376038,2164.1612496376038,2,500000.0,8
vit@Bingsu#Cat_and_Dog-7,1747,106,641.1612496376038,2335.1612496376038,2,63680.0,1
vit@food101-8,1987,113,1490.3224992752075,3477.3224992752075,2,757500.0,2
vit@imagenet-split-1-9,2229,275,718.1612496376038,2776.1612496376038,1,750000,8
vit@food101-10,2296,208,651.1612496376038,2843.1612496376038,1,757500.0,8
vit@Bingsu#Cat_and_Dog-11,2634,66,311.16124963760376,2945.1612496376038,1,63680.0,1
vit@food101-12,2660,40,1717.3224992752075,4377.3224992752075,2,757500.0,2
vit@food101-13,3002,596,862.1612496376038,3566.1612496376038,1,757500.0,8
vit@imagenet-split-1-14,3002,596,862.1612496376038,3566.1612496376038,1,750000,8
vit@cifar100-15,3014,286,545.1612496376038,3559.1612496376038,1,500000.0,12
vit@imagenet-split-0-16,3350,250,499.16124963760376,3849.1612496376038,1,250000.0,16
vit@Bingsu#Cat_and_Dog-17,3459,141,386.16124963760376,3845.1612496376038,1,63680.0,1
vit@Bingsu#Cat_and_Dog-18,3853,47,292.16124963760376,4145.161249637604,1,63680.0,1
vit@Bingsu#Cat_and_Dog-19,4072,128,373.16124963760376,4445.161249637604,1,63680.0,1
vit@Bingsu#Cat_and_Dog-20,4256,244,489.16124963760376,4745.161249637604,1,63680.0,1
vit@Bingsu#Cat_and_Dog-21,4295,205,311.16124963760376,4606.161249637604,1,63680.0,3
vit@imagenet-split-1-22,4853,494,616.1612496376038,5222.161249637604,1,750000,8
vit@imagenet-split-0-23,4853,494,616.1612496376038,5222.161249637604,1,250000.0,8
vit@food101-24,4906,196,1217.4837489128113,5929.483748912811,3,757500.0,2
vit@food101-25,4906,194,1571.3224992752075,6477.3224992752075,2,757500.0,2
vit@mnist-26,5098,4,1025.4837489128113,6121.483748912811,3,600000.0,8
vit@imagenet-split-2-27,6003,486,739.1612496376038,6445.161249637604,1,1000000.0,8
vit@food101-28,6111,378,631.1612496376038,6553.161249637604,1,757500.0,8
vit@imagenet-split-1-29,6432,301,808.1612496376038,7072.161249637604,2,750000,1
