name,submission_time,pending_time,staying_time,completion_time,num_restarts,max_progress,target_num_gpus
roberta-base@mrpc-0,45,75,150.39900946617126,195.39900946617126,1,9170,8
roberta-base@qnli-1,786,54,527.1970283985138,1313.1970283985138,3,261860,32
roberta-base@qnli-2,1280,40,513.1970283985138,1793.1970283985138,3,261860,32
roberta-base@sst2-3,1987,53,526.5960378646851,2513.596037864685,4,168380,4
roberta-base@qnli-4,2634,6,434.79801893234253,3068.7980189323425,2,261860,16
roberta-base@qnli-5,2660,100,528.7980189323425,3188.7980189323425,2,261860,16
roberta-base@qnli-6,3002,118,718.9950473308563,3720.9950473308563,5,261860,16
roberta-base@stsb-7,3459,21,132.39900946617126,3591.3990094661713,1,12942.0,4
roberta-base@rte-8,4072,8,88.39900946617126,4160.399009466171,1,4984.0,8
roberta-base@qnli-9,4853,67,495.79801893234253,5348.7980189323425,2,261860,16
roberta-base@mnli-10,4906,14,967.1970283985138,5873.197028398514,3,883584.0,32
roberta-base@qqp-11,6003,234,1056.1970283985138,6942.197028398514,3,909620.0,16
roberta-base@mnli-12,6111,126,948.1970283985138,7050.197028398514,3,883584.0,2
roberta-base@qnli-13,7246,74,502.79801893234253,7748.7980189323425,2,261860,16
roberta-base@sst2-14,7328,112,585.5960378646851,7913.596037864685,4,168380,8
roberta-base@wnli-15,7516,44,106.39900946617126,7622.399009466171,1,159.0,1
roberta-base@sst2-16,7774,26,477.59603786468506,8251.596037864685,4,168380,8
roberta-base@rte-17,8067,93,212.39900946617126,8279.399009466171,1,4984.0,1
roberta-base@sst2-18,8267,13,486.59603786468506,8753.596037864685,4,168380,4
roberta-base@rte-19,8364,36,155.39900946617126,8519.399009466171,1,4984.0,1
roberta-base@stsb-20,8718,84,165.39900946617126,8841.399009466171,1,12942.0,1
roberta-base@qnli-21,8748,54,135.39900946617126,8871.399009466171,1,261860,2
roberta-base@qnli-22,8768,112,712.9950473308563,9480.995047330856,5,261860,16
roberta-base@wnli-23,9147,93,155.39900946617126,9302.399009466171,1,159.0,1
roberta-base@wnli-24,9538,124,186.39900946617126,9662.399009466171,1,159.0,1
roberta-base@mrpc-25,9538,124,186.39900946617126,9662.399009466171,1,9170,1
roberta-base@wnli-26,9538,62,124.39900946617126,9662.399009466171,1,159.0,1
roberta-base@wnli-27,9539,61,123.39900946617126,9662.399009466171,1,159.0,1
roberta-base@qnli-28,9612,121,183.39900946617126,9687.399009466171,1,261860,1
roberta-base@wnli-29,9707,26,88.39900946617126,9782.399009466171,1,159.0,1
roberta-base@wnli-30,10052,28,89.39900946617126,10141.399009466171,1,159.0,8
roberta-base@rte-31,10462,98,178.39900946617126,10640.399009466171,1,4984.0,8
roberta-base@snli-32,10617,125,1054.9950473308563,11608.995047330856,5,1373440,8
roberta-base@mnli-33,10618,124,1053.9950473308563,11609.995047330856,5,883584.0,8
roberta-base@rte-34,11194,86,205.39900946617126,11399.399009466171,1,4984.0,1
roberta-base@rte-35,11696,128,204.39900946617126,11836.399009466171,1,4984.0,1
roberta-base@stsb-36,11714,110,186.39900946617126,11854.399009466171,1,12942.0,1
roberta-base@stsb-37,12079,82,166.39900946617126,12204.399009466171,1,12942.0,1
roberta-base@snli-38,12082,79,163.39900946617126,12207.399009466171,1,1373440,8
roberta-base@sst2-39,12456,24,497.59603786468506,12953.596037864685,4,168380,4
roberta-base@stsb-40,13108,92,203.39900946617126,13311.399009466171,1,12942.0,4
roberta-base@rte-41,13468,184,252.39900946617126,13628.399009466171,1,4984.0,1
roberta-base@qnli-42,13470,182,250.39900946617126,13630.399009466171,1,261860,4
roberta-base@wnli-43,13911,9,70.39900946617126,13981.399009466171,1,159.0,8
roberta-base@qqp-44,14031,9,2282.389104127884,16313.389104127884,11,909620.0,2
roberta-base@qnli-45,14066,188,621.7980189323425,14593.798018932343,2,261860,1
roberta-base@qqp-46,14109,145,578.7980189323425,14636.798018932343,2,909620.0,8
roberta-base@sst2-47,14275,5,356.79801893234253,14631.798018932343,2,168380,12
roberta-base@qnli-48,15165,75,546.7980189323425,15711.798018932343,2,261860,12
roberta-base@sst2-49,15342,18,369.79801893234253,15711.798018932343,2,168380,12
roberta-base@rte-50,16030,50,169.39900946617126,16199.399009466171,1,4984.0,1
roberta-base@mrpc-51,16773,27,102.39900946617126,16875.39900946617,1,9170,8
roberta-base@mrpc-52,17132,56,130.39900946617126,17234.39900946617,1,9170,1
roberta-base@qnli-53,17159,29,103.39900946617126,17261.39900946617,1,261860,2
roberta-base@qqp-54,17263,17,2122.9900946617126,19385.990094661713,10,909620.0,1
roberta-base@wnli-55,18187,53,115.39900946617126,18302.39900946617,1,159.0,1
roberta-base@sst2-56,18254,106,432.79801893234253,18686.798018932343,2,168380,16
roberta-base@rte-57,18835,5,124.39900946617126,18959.39900946617,1,4984.0,1
roberta-base@qnli-58,19136,64,862.3940567970276,19998.394056797028,6,261860,1
roberta-base@qqp-59,19137,126,556.1970283985138,19630.197028398514,3,909620.0,2
roberta-base@sst2-60,19137,126,556.1970283985138,19630.197028398514,3,168380,8
roberta-base@stsb-61,19211,218,299.39900946617126,19401.39900946617,1,12942.0,1
roberta-base@sst2-62,19247,182,263.39900946617126,19437.39900946617,1,168380,8
roberta-base@sst2-63,19247,73,424.79801893234253,19671.798018932343,2,168380,12
roberta-base@mnli-64,20006,34,1190.3940567970276,21196.394056797028,6,883584.0,1
roberta-base@stsb-65,21258,204,285.39900946617126,21441.39900946617,1,12942.0,1
roberta-base@qnli-66,21333,129,210.39900946617126,21516.39900946617,1,261860,1
roberta-base@qnli-67,21547,105,423.79801893234253,21917.798018932343,2,261860,8
roberta-base@qnli-68,21547,105,423.79801893234253,21917.798018932343,2,261860,8
roberta-base@sst2-69,21548,104,422.79801893234253,21918.798018932343,2,168380,8
roberta-base@qnli-70,21548,52,635.1970283985138,22183.197028398514,3,261860,8
roberta-base@sst2-71,21548,104,422.79801893234253,21918.798018932343,2,168380,8
roberta-base@rte-72,21891,69,188.39900946617126,22079.39900946617,1,4984.0,1
roberta-base@qnli-73,22260,60,892.9950473308563,23152.995047330856,5,261860,1
roberta-base@mrpc-74,22395,45,157.39900946617126,22552.39900946617,1,9170,2
roberta-base@qnli-75,22654,51,790.1970283985138,23418.197028398514,3,261860,8
roberta-base@sst2-76,22654,172,859.1970283985138,23487.197028398514,3,168380,8
roberta-base@qnli-77,22654,172,859.1970283985138,23487.197028398514,3,261860,8
roberta-base@qnli-78,22654,26,1403.3940567970276,24057.394056797028,6,261860,8
roberta-base@sst2-79,22655,25,1094.1970283985138,23749.197028398514,3,168380,2
roberta-base@sst2-80,22655,50,789.1970283985138,23419.197028398514,3,168380,8
roberta-base@qnli-81,22655,25,1179.596037864685,23834.596037864685,4,261860,4
roberta-base@sst2-82,22655,25,1139.1970283985138,23794.197028398514,3,168380,1
roberta-base@sst2-83,22655,25,1139.7980189323425,23794.798018932343,2,168380,1
roberta-base@sst2-84,22655,25,1094.1970283985138,23749.197028398514,3,168380,2
roberta-base@qnli-85,22655,25,1340.9950473308563,23995.995047330856,5,261860,1
roberta-base@qnli-86,22655,25,1340.9950473308563,23995.995047330856,5,261860,1
roberta-base@qnli-87,22655,145,1299.596037864685,23954.596037864685,4,261860,4
roberta-base@sst2-88,23166,114,823.1970283985138,23989.197028398514,3,168380,8
roberta-base@sst2-89,23298,204,943.1970283985138,24139.197028398514,3,168380,8
roberta-base@qnli-90,23298,204,943.1970283985138,24139.197028398514,3,261860,8
roberta-base@qnli-91,23833,47,647.9950473308563,24480.995047330856,5,261860,16
roberta-base@sst2-92,24306,54,530.5960378646851,24836.596037864685,4,168380,4
roberta-base@sst2-93,24583,17,343.79801893234253,24926.798018932343,2,168380,16
roberta-base@sst2-94,24611,218,511.79801893234253,25013.798018932343,2,168380,1
roberta-base@qnli-95,24715,114,407.79801893234253,25117.798018932343,2,261860,1
roberta-base@stsb-96,25165,35,146.39900946617126,25311.39900946617,1,12942.0,4
roberta-base@qnli-97,25326,114,713.5960378646851,26039.596037864685,4,261860,3
roberta-base@sst2-98,25475,85,558.5960378646851,26033.596037864685,4,168380,8
roberta-base@sst2-99,25688,112,588.5960378646851,26276.596037864685,4,168380,4
roberta-base@rte-100,25946,94,213.39900946617126,26159.39900946617,1,4984.0,1
roberta-base@rte-101,26066,188,276.39900946617126,26248.39900946617,1,4984.0,1
roberta-base@mrpc-102,26099,155,243.39900946617126,26281.39900946617,1,9170,1
roberta-base@wnli-103,26344,56,117.39900946617126,26461.39900946617,1,159.0,8
roberta-base@sst2-104,26539,101,577.5960378646851,27116.596037864685,4,168380,4
roberta-base@qnli-105,26857,23,687.3940567970276,27544.394056797028,6,261860,1
roberta-base@qnli-106,27150,173,235.39900946617126,27295.39900946617,1,261860,8
roberta-base@qnli-107,27150,90,567.1970283985138,27717.197028398514,3,261860,24
roberta-base@wnli-108,27157,166,228.39900946617126,27302.39900946617,1,159.0,1
roberta-base@sst2-109,27565,35,508.59603786468506,28073.596037864685,4,168380,4
roberta-base@sst2-110,27871,89,627.5960378646851,28498.596037864685,4,168380,4
roberta-base@sst2-111,28092,216,896.1970283985138,28880.197028398514,3,168380,8
roberta-base@qnli-112,28092,216,896.1970283985138,28880.197028398514,3,261860,8
roberta-base@sst2-113,28092,108,677.5960378646851,28769.596037864685,4,168380,8
roberta-base@sst2-114,28092,216,896.1970283985138,28880.197028398514,3,168380,8
roberta-base@sst2-115,28093,107,579.7980189323425,28672.798018932343,2,168380,8
roberta-base@qnli-116,28093,215,895.1970283985138,28881.197028398514,3,261860,8
roberta-base@sst2-117,28093,107,637.3990094661713,28730.39900946617,1,168380,4
roberta-base@sst2-118,28093,107,637.3990094661713,28730.39900946617,1,168380,4
roberta-base@sst2-119,28634,46,519.5960378646851,29153.596037864685,4,168380,4
