name,finish_time_fairness
roberta-large@qnli-0,0.05857
roberta-large@sst2-1,0.19257
roberta-large@qnli-2,0.19557
roberta-large@mnli-3,0.20933
roberta-large@qqp-4,0.14086
roberta-large@mnli-5,0.21285
roberta-large@wnli-6,0.74536
roberta-large@rte-7,0.38842
roberta-large@qnli-8,0.11537
roberta-large@qnli-9,0.07973
roberta-large@rte-10,0.48195
roberta-large@wnli-11,0.83254
roberta-large@mrpc-12,0.23151
roberta-large@wnli-13,0.83254
roberta-large@wnli-14,0.66331
roberta-large@mrpc-15,0.42402
roberta-large@sst2-16,0.21666
roberta-large@qnli-17,0.10825
roberta-large@rte-18,0.41631
roberta-large@stsb-19,0.29542
roberta-large@sst2-20,0.81668
roberta-large@sst2-21,0.36375
roberta-large@qqp-22,0.21205
roberta-large@qqp-23,0.19724
roberta-large@sst2-24,0.10732
roberta-large@rte-25,0.41139
roberta-large@mrpc-26,0.3242
roberta-large@sst2-27,0.65499
roberta-large@sst2-28,0.83581
roberta-large@sst2-29,0.60449
roberta-large@qnli-30,0.12052
roberta-large@stsb-31,0.53338
roberta-large@sst2-32,0.64671
roberta-large@qnli-33,0.3006
roberta-large@mrpc-34,0.38267
roberta-large@qnli-35,0.41011
roberta-large@wnli-36,0.75049
roberta-large@qnli-37,0.1655
roberta-large@sst2-38,0.60415
roberta-large@sst2-39,0.60315
roberta-large@sst2-40,0.9687
roberta-large@qnli-41,0.16523
roberta-large@sst2-42,0.9687
roberta-large@sst2-43,0.9687
roberta-large@sst2-44,0.70219
roberta-large@sst2-45,0.6334
roberta-large@qnli-46,0.29969
roberta-large@qnli-47,0.06346
roberta-large@sst2-48,0.64537
roberta-large@sst2-49,0.61646
roberta-large@rte-50,0.44913
roberta-large@wnli-51,0.83254
roberta-large@stsb-52,0.42275
roberta-large@qnli-53,0.07116
roberta-large@qnli-54,0.10844
roberta-large@qnli-55,0.05007
roberta-large@wnli-56,0.94023
roberta-large@sst2-57,0.69356
roberta-large@qnli-58,0.18999
roberta-large@sst2-59,0.63839
