name,submission_time,pending_time,staying_time,completion_time,num_restarts,max_progress,target_num_gpus
vit-large@frgfm#imagenette-0,45,150,255.1378710269928,225.1378710269928,1,66283.0,1
vit-large@imagenet-split-1-1,92,103,208.1378710269928,272.1378710269928,1,749250.0,4
vit-large@food101-2,786,54,2310.2757420539856,3096.2757420539856,2,757500,3
vit-large@imagenet-split-0-3,1280,40,859.2757420539856,2139.2757420539856,2,250000.0,2
vit-large@imagenet-split-0-4,1987,53,872.2757420539856,2859.2757420539856,2,250000.0,2
vit-large@imagenet-split-1-5,2229,51,897.8272261619568,3126.827226161957,6,749250.0,1
vit-large@imagenet-split-1-6,2634,6,714.5514841079712,3348.551484107971,4,749250.0,16
vit-large@imagenet-split-0-7,2660,100,919.2757420539856,3579.2757420539856,2,250000.0,2
vit-large@mnist-8,3002,118,1165.8272261619568,4167.827226161957,6,600000.0,1
vit-large@frgfm#imagenette-9,3459,21,254.1378710269928,3713.137871026993,1,66283.0,4
vit-large@frgfm#imagenette-10,3853,107,340.1378710269928,4193.137871026993,1,66283.0,4
vit-large@frgfm#imagenette-11,4072,8,241.1378710269928,4313.137871026993,1,66283.0,4
vit-large@mnist-12,4853,67,990.5514841079712,5843.551484107971,4,600000.0,16
vit-large@food101-13,4906,14,2275.2757420539856,7181.275742053986,2,757500,8
vit-large@fashion_mnist-14,5098,62,979.5514841079712,6077.551484107971,4,600000.0,16
vit-large@imagenet-split-2-15,6003,126,1046.4136130809784,6932.413613080978,3,1000000.0,8
vit-large@food101-16,6111,18,938.4136130809784,7040.413613080978,3,757500,2
vit-large@imagenet-split-0-17,7246,74,893.2757420539856,8139.275742053986,2,250000.0,2
vit-large@cifar100-18,7246,74,1117.8272261619568,8363.827226161957,6,500000.0,2
vit-large@imagenet-split-1-19,7328,122,833.689355134964,8049.689355134964,5,749250.0,4
vit-large@cifar100-20,7430,20,731.689355134964,8151.689355134964,5,500000.0,4
vit-large@imagenet-split-1-21,7490,114,594.1378710269928,8014.137871026993,1,749250.0,4
vit-large@cifar100-22,7516,88,568.1378710269928,8040.137871026993,1,500000.0,1
vit-large@cifar100-23,7670,10,938.4136130809784,8608.413613080978,3,500000.0,2
vit-large@mnist-24,7719,81,1227.5514841079712,8946.551484107971,4,600000.0,8
vit-large@mnist-25,7774,26,1083.4136130809784,8857.413613080978,3,600000.0,4
vit-large@Bingsu#Cat_and_Dog-26,8067,93,184.1378710269928,8251.137871026993,1,31680.0,4
vit-large@imagenet-split-1-27,8267,13,842.5514841079712,9109.551484107971,4,749250.0,2
vit-large@Bingsu#Cat_and_Dog-28,8364,36,127.1378710269928,8491.137871026993,1,31680.0,4
vit-large@fashion_mnist-29,8718,54,643.4136130809784,9319.413613080978,3,600000.0,1
vit-large@cifar100-30,8748,24,613.4136130809784,9349.413613080978,3,500000.0,2
vit-large@cifar100-31,8768,112,1047.8272261619568,9815.827226161957,6,500000.0,1
vit-large@frgfm#imagenette-32,9026,94,327.1378710269928,9353.137871026993,1,66283.0,4
vit-large@frgfm#imagenette-33,9147,93,326.1378710269928,9473.137871026993,1,66283.0,4
vit-large@food101-34,9491,170,501.4136130809784,9883.413613080978,3,757500,8
vit-large@frgfm#imagenette-35,9538,123,214.1378710269928,9690.137871026993,1,66283.0,1
vit-large@frgfm#imagenette-36,9538,62,295.1378710269928,9833.137871026993,1,66283.0,4
vit-large@frgfm#imagenette-37,9538,62,295.1378710269928,9833.137871026993,1,66283.0,4
vit-large@frgfm#imagenette-38,9538,62,295.1378710269928,9833.137871026993,1,66283.0,4
vit-large@frgfm#imagenette-39,9539,122,453.4136130809784,9931.413613080978,3,66283.0,1
vit-large@Bingsu#Cat_and_Dog-40,9539,122,213.1378710269928,9691.137871026993,1,31680.0,1
vit-large@imagenet-split-0-41,9612,121,226.1378710269928,9730.137871026993,1,250000.0,1
vit-large@Bingsu#Cat_and_Dog-42,9707,26,131.1378710269928,9825.137871026993,1,31680.0,1
vit-large@frgfm#imagenette-43,10052,28,261.1378710269928,10313.137871026993,1,66283.0,4
vit-large@frgfm#imagenette-44,10462,98,331.1378710269928,10793.137871026993,1,66283.0,4
