name,finish_time_fairness
vit-large@frgfm#imagenette-0,0.03925
vit-large@imagenet-split-1-1,0.01606
vit-large@food101-2,0.07262
vit-large@imagenet-split-0-3,0.04961
vit-large@imagenet-split-0-4,0.08307
vit-large@imagenet-split-1-5,0.13802
vit-large@imagenet-split-1-6,0.06369
vit-large@imagenet-split-0-7,0.08755
vit-large@mnist-8,0.15607
vit-large@frgfm#imagenette-9,0.05537
vit-large@frgfm#imagenette-10,0.0741
vit-large@frgfm#imagenette-11,0.05254
vit-large@mnist-12,0.1326
vit-large@food101-13,0.07152
vit-large@fashion_mnist-14,0.13113
vit-large@imagenet-split-2-15,0.07465
vit-large@food101-16,0.02921
vit-large@imagenet-split-0-17,0.12528
vit-large@cifar100-18,0.12812
vit-large@imagenet-split-1-19,0.06432
vit-large@cifar100-20,0.08272
vit-large@imagenet-split-1-21,0.04671
vit-large@cifar100-22,0.01786
vit-large@cifar100-23,0.10755
vit-large@mnist-24,0.11724
vit-large@mnist-25,0.03077
vit-large@Bingsu#Cat_and_Dog-26,0.1485
vit-large@imagenet-split-1-27,0.02874
vit-large@Bingsu#Cat_and_Dog-28,0.10253
vit-large@fashion_mnist-29,0.01708
vit-large@cifar100-30,0.0386
vit-large@cifar100-31,0.03571
vit-large@frgfm#imagenette-32,0.07127
vit-large@frgfm#imagenette-33,0.07105
vit-large@food101-34,0.01795
vit-large@frgfm#imagenette-35,0.03315
vit-large@frgfm#imagenette-36,0.0643
vit-large@frgfm#imagenette-37,0.0643
vit-large@frgfm#imagenette-38,0.0643
vit-large@frgfm#imagenette-39,0.08549
vit-large@Bingsu#Cat_and_Dog-40,0.12269
vit-large@imagenet-split-0-41,0.00682
vit-large@Bingsu#Cat_and_Dog-42,0.09527
vit-large@frgfm#imagenette-43,0.05689
vit-large@frgfm#imagenette-44,0.07214
vit-large@food101-45,0.10607
vit-large@food101-46,0.07287
vit-large@food101-47,0.10603
vit-large@frgfm#imagenette-48,0.11423
vit-large@frgfm#imagenette-49,0.11459
vit-large@frgfm#imagenette-50,0.0435
