full_resource,free_resource,pending_num,running_num,submit_num
32,32,0,0,0
32,32,0,0,2
32,24,0,1,0
32,32,0,0,0
32,32,0,0,0
32,32,0,0,0
32,32,0,0,0
32,32,0,0,2
32,24,0,2,0
32,28,0,1,0
32,28,0,1,0
32,28,0,1,1
32,20,0,2,1
32,8,0,3,0
32,25,0,2,1
32,24,0,2,1
32,20,0,3,0
32,24,0,2,1
32,20,0,3,0
32,24,0,2,1
32,16,0,3,1
32,4,0,4,0
32,0,0,4,1
32,0,0,5,1
32,0,0,5,0
32,0,0,4,0
32,1,0,4,3
32,0,0,6,0
32,0,0,5,1
32,5,0,6,1
32,0,0,6,0
32,1,0,6,0
32,2,0,5,0
32,16,0,4,1
32,16,0,4,1
32,15,0,5,0
32,24,0,1,2
32,24,0,2,0
32,32,0,0,0
32,32,0,0,0
32,32,0,0,0
32,32,0,0,4
32,16,0,3,0
32,0,0,3,1
32,0,0,4,0
32,2,0,4,0
32,0,0,3,0
32,14,0,3,0
32,16,0,2,0
32,20,0,2,0
32,28,0,1,0
32,28,0,1,2
32,24,0,2,0
32,20,0,1,0
32,20,0,1,2
32,8,0,3,0
32,0,0,3,0
32,0,0,3,1
32,10,0,4,1
32,9,0,4,1
32,4,0,4,1
32,0,0,5,2
32,1,0,6,2
32,0,0,5,2
32,0,0,5,1
32,12,0,3,2
32,4,0,4,1
32,0,0,5,2
32,0,0,4,3
32,9,0,5,5
32,0,0,6,2
32,0,0,7,0
32,0,0,5,0
32,0,0,5,2
32,3,0,5,3
32,18,0,3,2
32,7,0,4,1
32,16,0,2,1
32,25,0,2,0
32,24,0,1,0
32,32,0,0,9
32,0,0,8,2
32,9,0,8,0
32,32,0,0,0
32,32,0,0,1
32,28,0,1,0
32,24,0,1,0
32,32,0,0,2
32,28,0,1,1
32,28,0,1,6
32,9,0,6,0
32,8,0,4,2
32,0,0,5,0
32,8,0,4,0
32,8,0,4,1
32,4,0,5,2
32,1,0,6,0
32,8,0,4,0
32,8,0,4,2
32,11,0,6,0
32,14,0,5,0
32,28,0,1,6
32,8,0,6,0
32,10,0,4,0
32,18,0,2,2
32,12,0,2,0
32,20,0,1,1
32,16,0,2,1
32,13,0,3,0
32,30,0,1,1
32,24,0,1,1
32,12,0,2,1
32,0,0,2,0
32,0,0,2,2
32,0,0,3,1
32,26,0,2,0
32,28,0,1,1
32,24,0,2,1
32,24,0,2,2
32,16,0,4,1
32,12,0,4,1
32,0,0,5,0
32,5,0,5,0
32,20,0,3,0
32,20,0,3,0
32,20,0,3,0
32,20,0,3,1
32,12,0,4,1
32,0,0,5,1
32,2,0,5,0
32,3,0,3,1
32,0,0,3,0
32,0,0,2,0
32,0,0,2,0
32,30,0,1,2
32,24,0,2,0
32,32,0,0,0
32,32,0,0,0
32,32,0,0,0
32,32,0,0,0
32,32,0,0,2
32,24,0,2,0
32,26,0,2,1
32,24,0,1,4
32,0,0,4,1
32,2,0,4,0
32,26,0,2,0
32,28,0,1,1
32,24,0,2,0
32,25,0,2,1
32,24,0,2,0
32,28,0,1,0
32,28,0,1,2
32,24,0,2,1
32,24,0,2,1
32,20,0,3,0
32,28,0,1,1
32,24,0,2,1
32,20,0,3,0
32,24,0,2,0
32,24,0,2,6
32,0,0,6,9
32,2,2,11,0
32,2,2,10,1
32,2,1,11,0
32,2,1,11,2
32,2,2,9,0
32,6,0,6,1
32,8,0,3,2
32,16,0,3,0
32,24,0,2,2
32,16,0,3,1
32,22,0,3,0
32,25,0,2,0
32,28,0,1,0
32,28,0,1,0
32,28,0,1,1
32,24,0,2,2
32,20,0,2,2
32,8,0,2,0
32,20,0,1,21
32,0,0,16,1
32,0,0,17,1
32,0,0,18,1
32,0,0,18,0
32,3,1,13,1
32,3,1,13,1
32,3,1,13,1
32,3,1,14,0
32,8,2,12,39
32,0,11,26,0
32,0,5,31,3
32,0,7,32,0
32,0,6,32,0
32,0,6,32,5
32,0,8,31,4
32,0,11,31,1
32,0,11,32,1
32,0,5,29,0
32,0,2,32,2
32,0,3,32,0
32,0,2,32,1
32,0,2,32,0
32,0,1,32,2
32,0,3,32,0
32,2,1,24,2
32,0,0,25,3
32,0,0,20,2
32,2,1,18,2
32,0,0,20,2
32,0,0,21,1
32,0,0,21,0
32,0,0,17,2
32,6,3,11,1
32,0,0,10,3
32,2,1,9,1
32,0,0,9,2
32,3,1,8,1
32,4,2,8,3
32,4,3,9,1
32,0,0,9,1
32,2,0,5,2
32,1,0,5,1
32,19,0,3,0
32,14,0,2,2
32,17,0,3,0
32,12,0,2,0
32,4,0,2,4
32,18,0,4,0
32,28,0,1,0
32,28,0,1,3
32,16,0,3,1
32,8,0,3,0
32,25,0,2,1
32,20,0,2,0
32,12,0,2,23
32,0,0,19,0
32,0,0,19,1
32,0,0,20,1
32,0,0,21,2
32,0,0,22,0
32,0,0,22,0
32,0,0,21,0
32,0,0,17,0
32,7,2,15,0
32,6,2,8,0
32,3,0,7,0
32,16,0,3,0
32,24,0,2,0
32,25,0,2,0
32,28,0,1,0
32,28,0,1,0
32,28,0,1,0
32,28,0,1,0
32,28,0,1,0
32,28,0,1,0
32,28,0,1,0
32,28,0,1,0
32,24,0,1,0
