name,submission_time,pending_time,staying_time,completion_time,num_restarts,max_progress,target_num_gpus
vit-large@frgfm#imagenette-0,45,75,308.1378710269928,353.1378710269928,1,66283.0,4
vit-large@imagenet-split-1-1,92,28,471.1378710269928,563.1378710269928,1,749250.0,24
vit-large@food101-2,786,54,2642.4136130809784,3428.4136130809784,3,757500,1
vit-large@imagenet-split-0-3,1280,40,998.1378710269928,2278.137871026993,1,250000.0,12
vit-large@imagenet-split-0-4,1987,53,970.5514841079712,2957.551484107971,4,250000.0,2
vit-large@imagenet-split-1-5,2229,51,622.4136130809784,2851.4136130809784,3,749250.0,8
vit-large@imagenet-split-1-6,2634,6,683.5514841079712,3317.551484107971,4,749250.0,12
vit-large@imagenet-split-0-7,2660,100,1038.5514841079712,3698.551484107971,4,250000.0,1
vit-large@mnist-8,3002,118,1049.5514841079712,4051.551484107971,4,600000.0,3
vit-large@frgfm#imagenette-9,3459,21,358.2757420539856,3817.2757420539856,2,66283.0,2
vit-large@frgfm#imagenette-10,3853,107,444.2757420539856,4297.275742053986,2,66283.0,2
vit-large@frgfm#imagenette-11,4072,8,295.1378710269928,4367.137871026993,1,66283.0,12
vit-large@mnist-12,4853,67,1130.9650971889496,5983.96509718895,7,600000.0,4
vit-large@food101-13,4906,14,2754.1029682159424,7660.102968215942,8,757500,4
vit-large@fashion_mnist-14,5098,62,1009.689355134964,6107.689355134964,5,600000.0,16
vit-large@imagenet-split-2-15,6003,117,1421.2757420539856,7424.275742053986,2,1000000.0,4
vit-large@food101-16,6111,9,2870.516581296921,8981.51658129692,11,757500,2
vit-large@imagenet-split-0-17,7246,74,969.4136130809784,8215.413613080978,3,250000.0,1
vit-large@cifar100-18,7246,74,1228.689355134964,8474.689355134964,5,500000.0,1
vit-large@imagenet-split-1-19,7328,472,1748.5514841079712,9076.551484107971,4,749250.0,1
vit-large@cifar100-20,7430,10,1154.5514841079712,8584.551484107971,4,500000.0,3
vit-large@imagenet-split-1-21,7490,790,2099.9650971889496,9589.96509718895,7,749250.0,8
vit-large@cifar100-22,7516,44,1219.689355134964,8735.689355134964,5,500000.0,4
vit-large@cifar100-23,7670,130,1288.689355134964,8958.689355134964,5,500000.0,1
vit-large@mnist-24,7719,81,1516.8272261619568,9235.827226161957,6,600000.0,4
vit-large@mnist-25,7774,146,1556.8272261619568,9330.827226161957,6,600000.0,4
vit-large@Bingsu#Cat_and_Dog-26,8067,333,534.2757420539856,8601.275742053986,2,31680.0,1
vit-large@imagenet-split-1-27,8267,253,1419.4136130809784,9686.413613080978,3,749250.0,1
vit-large@Bingsu#Cat_and_Dog-28,8364,36,237.2757420539856,8601.275742053986,2,31680.0,1
vit-large@fashion_mnist-29,8718,42,1335.689355134964,10053.689355134964,5,600000.0,3
vit-large@cifar100-30,8748,132,1186.5514841079712,9934.551484107971,4,500000.0,2
vit-large@cifar100-31,8768,112,1125.2757420539856,9893.275742053986,2,500000.0,3
vit-large@frgfm#imagenette-32,9026,94,327.1378710269928,9353.137871026993,1,66283.0,4
vit-large@frgfm#imagenette-33,9147,93,326.1378710269928,9473.137871026993,1,66283.0,4
vit-large@food101-34,9491,229,3067.6544523239136,12558.654452323914,12,757500,4
vit-large@frgfm#imagenette-35,9538,62,394.2757420539856,9932.275742053986,2,66283.0,1
vit-large@frgfm#imagenette-36,9538,62,394.2757420539856,9932.275742053986,2,66283.0,1
vit-large@frgfm#imagenette-37,9538,62,394.2757420539856,9932.275742053986,2,66283.0,1
vit-large@frgfm#imagenette-38,9538,62,394.2757420539856,9932.275742053986,2,66283.0,1
vit-large@frgfm#imagenette-39,9539,61,393.2757420539856,9932.275742053986,2,66283.0,1
vit-large@Bingsu#Cat_and_Dog-40,9539,301,407.1378710269928,9946.137871026993,1,31680.0,3
vit-large@imagenet-split-0-41,9612,228,1392.9650971889496,11004.96509718895,7,250000.0,2
vit-large@Bingsu#Cat_and_Dog-42,9707,133,239.1378710269928,9946.137871026993,1,31680.0,3
vit-large@frgfm#imagenette-43,10052,28,365.2757420539856,10417.275742053986,2,66283.0,2
vit-large@frgfm#imagenette-44,10462,98,435.2757420539856,10897.275742053986,2,66283.0,2
vit-large@food101-45,10617,63,2431.551484107971,13048.551484107971,4,757500,2
vit-large@food101-46,10618,62,2430.551484107971,13048.551484107971,4,757500,2
vit-large@food101-47,10618,62,2318.2757420539856,12936.275742053986,2,757500,3
vit-large@frgfm#imagenette-48,10835,85,422.2757420539856,11257.275742053986,2,66283.0,2
vit-large@frgfm#imagenette-49,11194,86,380.2757420539856,11574.275742053986,2,66283.0,4
vit-large@frgfm#imagenette-50,11370,30,263.1378710269928,11633.137871026993,1,66283.0,4
vit-large@Bingsu#Cat_and_Dog-51,11370,30,121.1378710269928,11491.137871026993,1,31680.0,4
vit-large@frgfm#imagenette-52,11696,64,401.2757420539856,12097.275742053986,2,66283.0,2
vit-large@frgfm#imagenette-53,11714,46,279.1378710269928,11993.137871026993,1,66283.0,4
vit-large@frgfm#imagenette-54,12033,87,320.1378710269928,12353.137871026993,1,66283.0,4
vit-large@Bingsu#Cat_and_Dog-55,12079,41,132.1378710269928,12211.137871026993,1,31680.0,4
vit-large@imagenet-split-2-56,12082,38,1811.378710269928,13893.378710269928,10,1000000.0,4
vit-large@Bingsu#Cat_and_Dog-57,12378,102,193.1378710269928,12571.137871026993,1,31680.0,4
vit-large@imagenet-split-1-58,12456,24,694.4136130809784,13150.413613080978,3,749250.0,16
vit-large@Bingsu#Cat_and_Dog-59,13108,92,183.1378710269928,13291.137871026993,1,31680.0,4
vit-large@frgfm#imagenette-60,13468,92,325.1378710269928,13793.137871026993,1,66283.0,4
vit-large@fashion_mnist-61,13470,90,1024.5514841079712,14494.551484107971,4,600000.0,3
vit-large@Bingsu#Cat_and_Dog-62,13911,9,100.1378710269928,14011.137871026993,1,31680.0,4
vit-large@food101-63,14031,9,2624.827226161957,16655.827226161957,6,757500,3
vit-large@cifar100-64,14066,94,880.4136130809784,14946.413613080978,3,500000.0,12
vit-large@food101-65,14109,51,2651.551484107971,16760.55148410797,4,757500,12
vit-large@cifar100-66,14275,5,803.4136130809784,15078.413613080978,3,500000.0,1
vit-large@imagenet-split-0-67,15165,75,970.4136130809784,16135.413613080978,3,250000.0,1
vit-large@imagenet-split-1-68,15342,18,669.4136130809784,16011.413613080978,3,749250.0,1
vit-large@Bingsu#Cat_and_Dog-69,16030,50,141.1378710269928,16171.137871026993,1,31680.0,4
vit-large@frgfm#imagenette-70,16773,27,314.1378710269928,17087.137871026993,1,66283.0,12
